Semester,Final Score,Final Grade
Spring 2018,81.04,B
Spring 2018,70.92,C
Spring 2018,76.62,BC
Spring 2018,85.48,AB
Spring 2018,77.22,BC
Spring 2018,69.6,F
Spring 2018,78.81,BC
Spring 2018,71.86,C
Spring 2018,78.78,BC
Spring 2018,71.96,C
Spring 2018,74.68,C
Spring 2018,78.17,BC
Spring 2018,73.04,C
Spring 2018,81.97,B
Spring 2018,73.11,C
Spring 2018,76.71,BC
Spring 2018,76.93,BC
Spring 2018,73.6,C
Spring 2018,82.76,B
Spring 2018,72.04,C
Spring 2018,74.26,C
Spring 2018,80.08,B
Spring 2018,78.17,BC
Spring 2018,67.62,F
Spring 2018,74.79,C
Spring 2018,74.1,C
Spring 2018,79.83,BC
Spring 2018,78.15,BC
Spring 2018,71.3,C
Spring 2018,73.34,C
Spring 2018,76.53,BC
Spring 2018,74.82,C
Spring 2018,73.53,C
Spring 2018,76.04,BC
Spring 2018,85.09,AB
Spring 2018,85.23,AB
Spring 2018,77.86,BC
Spring 2018,59.78,F
Spring 2018,86.77,AB
Spring 2018,79.05,BC
Spring 2018,76.37,BC
Spring 2018,62.15,F
Spring 2018,78.37,BC
Spring 2018,87.42,AB
Spring 2018,75.73,BC
Spring 2018,72.07,C
Spring 2018,74.29,C
Spring 2018,80.56,B
Spring 2018,76.57,BC
Spring 2018,80.68,B
Spring 2018,76.29,BC
Spring 2018,82.71,B
Spring 2018,67.54,F
Spring 2018,87.45,AB
Spring 2018,65.96,F
Spring 2018,66.61,F
Spring 2018,76.12,BC
Spring 2018,71.65,C
Spring 2018,77.56,BC
Spring 2018,63.33,F
Spring 2018,79.78,BC
Spring 2018,67.27,F
Spring 2018,78.72,BC
Spring 2018,72.18,C
Spring 2018,80.76,B
Spring 2018,70.31,C
Spring 2018,78.66,BC
Spring 2018,73.13,C
Spring 2018,78.48,BC
Spring 2018,75.43,BC
Spring 2018,79.7,BC
Spring 2018,78.44,BC
Spring 2018,84.9,B
Spring 2018,79.87,BC
Spring 2018,87.25,AB
Spring 2018,81.19,B
Spring 2018,84.61,B
Spring 2018,85.08,AB
Spring 2018,73.3,C
Spring 2018,84.5,B
Spring 2018,68.85,F
Spring 2018,77.08,BC
Spring 2018,73.41,C
Spring 2018,76.17,BC
Spring 2018,74.42,C
Spring 2018,69.79,F
Spring 2018,81.3,B
Spring 2018,68.81,F
Spring 2018,67.79,F
Spring 2018,78.07,BC
Spring 2018,72.98,C
Spring 2018,82.6,B
Spring 2018,76.44,BC
Spring 2018,72.96,C
Spring 2018,81.52,B
Spring 2018,69.58,F
Spring 2018,70.41,C
Spring 2018,71.45,C
Spring 2018,83.25,B
Spring 2018,82.76,B
Spring 2018,81.19,B
Spring 2018,76.46,BC
Spring 2018,63.15,F
Spring 2018,82.05,B
Spring 2018,82.49,B
Spring 2018,71.31,C
Spring 2018,74.54,C
Spring 2018,75.33,BC
Spring 2018,82.47,B
Spring 2018,82.82,B
Spring 2018,80.86,B
Spring 2018,64.28,F
Spring 2018,79.2,BC
Spring 2018,73.48,C
Spring 2018,68.08,F
Spring 2018,77.6,BC
Spring 2018,75.91,BC
Spring 2018,80.11,B
Spring 2018,74.31,C
Spring 2018,62.68,F
Spring 2018,78.36,BC
Spring 2018,68.78,F
